Catalogue No.,Lot Number,Artist Name 1,Title,Handwritten Note,Object Type,Object Notes,Inscription,Seller,Transaction,Buyer,Lot Notes,Previous Owner,Previous Sales,Post Owner,Post Sales,Present Location,Sale Date,Auction House,Sale Location,Coordinates,Lugt Number
B-244,73,[ITALIAN] (Italian),L'Enterrement de Jésus par sa Sainte Famille. Ce tableau très-bien peint consiste en huit figures,,Painting,"sur cuivre, Haut. 7 pouces; larg. 11 pouces",,"Belle, J. van; from catalog: van Belle","Sold, 20 frs",Woman [?]; from catalog: Woman [?] Princenhof,,,,,,,1815 Oct 09 and following days (This Lot: Oct  9),Apers (J.B.),"Ghent, Belgium","51.0543, 3.7174",8768
B-243,122,"RUBENS, PETER PAUL (Flemish)","Vénus assise, elle est vue par le dos se mirant dans un miroir, qu'un amour tient devant elle ; une negresse arrange sa blonde chevelure.  Figures de grandeur naturelle à mi-corps. Ce tableau passa par héritage dans une famille distinguée de cette ville, alliée à celle de Rubens, laquelle l'a cédé à feu Mr Spruyt qui l'a gravé à l'eau forte",,Painting,"sur bois, haut. 45 large. 37 pouces",,"Spruyt, Charles Joseph François; from catalog: Charles Spruyt","Sold, 60 frs","Loose, Frans Antoine de; from catalog: Loos",,,1806/07/28 GEFER 0001 AS A YOUNG WOMAN |X B-116,,,,1815 Oct 03 and following days (This Lot: Oct  3),[Anonymous],"Ghent, Belgium","51.0543, 3.7174",8766
B-89,105,"GELDER, ARENT DE (Dutch)","Le portrait de la mère de Rembrant, à demie corps sans mains ; peint et coloré d'une grande manière dans le stile de son maître Rembrant",,Painting,"sur bois, larg. 43 cent. 3 mil. haut. 51 cent. 4 mil.  (larg. 16 et haut. 19 pouces)",,"Loridon de Ghellinck, Thomas Judocus; from catalog: Th Loridon","Sold, 22 frs","Moyson, J.B.; from catalog: Moijson pr",,,"1803/05/16 GEFER 0096 AS M. MIEREVELD, PORTRAIT OF AN OLD WOMAN |X B-62",,,,1804 Jul 23 and following days (This Lot: Jul 23),Fernand,"Ghent, Belgium","51.0543, 3.7174",6845
B-89,97,"TENIERS, DAVID (THE YOUNGER) (Flemish)","Le portrait de son épouse, grandeur naturelle jusqu'aux genoux, tenant de la main gauche son éventail, ayant la droite étendue garnie de sa bague nuptiale: orné d'une architecture et d'un rideau ; aussi bien peint que s'il étoit de van Dyck. Ce tableau vient de Mademoiselle Teniers à St. Gilles pays de Waes, où le Chanoine Clemens l'a fait acheter",,Painting,"sur toile, larg. 92 cent. 3 mil. haut. 113 cent. 6 mil.  (larg. 34 et haut. 42 pouces)",,"Loridon de Ghellinck, Thomas Judocus; from catalog: Th Loridon","Sold, 13 frs","Moyson, J.B.; from catalog: Moijson pr",,"Teniers, Mlle. (from Catalogue: Mademoiselle Teniers)<br>Clemens, chanoine (from Catalogue: Chanoine Clemens)","1803/05/16 GEFER 0082 AS J. COSSIERS, PORTRAIT OF A WOMAN |X B-62",,,,1804 Jul 23 and following days (This Lot: Jul 23),Fernand,"Ghent, Belgium","51.0543, 3.7174",6845
B-472,21,"DYCK, ANTHONIE VAN (Flemish)","Le portrait de la mère de Téniers, vue preque de face; elle est vêtue d'une robe et d'une coiffe noires avec collet blanc. Ce portrait est d'une vérité étonnante; une touche légère et transparente ajoute à la qualité supérieure de ce bel ouvrage",,Painting,"on panel, h.74 pouces, l.55 pouces",,"Danoot, Daniel (banker, died 1828); from catalog: Danoot","Bought In or Withdrawn, 220 frs",,,,,,,"Cambridge, England, UK.  Fitzwilliam Museum.(12-1961) as Portrait of an Old Woman",1828 Dec 22 - 1828 Dec 23 (This Lot: Dec 22),Héris,"Brussels, Belgium","50.8503, 4.3517",11890
Br-4536,21,"REINAGLE, GEORGE PHILIP (British)",Two sketches of a woman and a child; and one other,,Painting,,,"Reinagle, George P.; from catalog: George P Reinagle Esq","Sold, 3.10 £ for lots 21 & 22",Gascoin; from catalog: Gascoin,,,,,,,1836 Jan 29 - 1836 Jan 30 (This Lot: Jan 30),Christie's,"London, England","51.5074, 0.1278",14200
Br-4541,11,"DENNER, BALTHASAR (German)",An old woman reading the Bible,,Painting,,,Collins; from catalog: Collins,"Sold, 1.3 £",Golding; from catalog: Golding,,,,,,,1836 Feb 06,Christie's,"London, England","51.5074, 0.1278",14207
Br-4541,74,"TOL, DOMENICUS VAN (Dutch)",A woman at a cottage-door selling fruit to a pedlar; well coloured and highly finished,,Painting,,,Collins; from catalog: Collins,"Sold, 13.13 £",Radclyffe; from catalog: Radclyffe,,,,,,,1836 Feb 06,Christie's,"London, England","51.5074, 0.1278",14207
Br-4541,87,"CUYP, AELBERT (Dutch)","A peasant keeping sheep, and a woman with a milk-can near a cottage",,Painting,,,Collins; from catalog: Collins,"Sold, 10.10 £",Perkins; from catalog: Perkins,,,,,,,1836 Feb 06,Christie's,"London, England","51.5074, 0.1278",14207
Br-4544,0004[a],REMBRANDT HARMENSZ. VAN RIJN (Dutch),"A woman's head, Orpheus and Eurydice, by Fuseli; and a moonlight (THIS LOT:  A woman's head; lots 4[b] by Fuseli & 4[c] by Anonymous)",,Painting,,,"Doyle. Charles William, Sir; from catalog: Doyle","Sold, 1.11 £ for lots 4[a-c]",Johnson; from catalog: Johnson,,,,,,,1836 Feb 13,Christie's,"London, England","51.5074, 0.1278",14214
